,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card,url
82,NH.QENSV.004,4.7,3,73,acer,Nitro 5 Gaming AN515 57 54AF,28990000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,57.5,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 11,Plastic,yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/acer-nitro-5-an515-57-54af-i5-nhqensv004?src=osp#top-tskt
83,82EV0016VN,2.3,7,77,lenovo,YOGA Slim 7 Carbon 13ITL5,27140000.0,Intel,1135G7,16.0,no,Intel Iris Xe Graphics,50.0,512.0,SSD,no,13.3,2560 x 1600,60,0.966,295.88,208.85,15.0,Windows 10,"Aluminum, Carbon, Magnesium",yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i5-82ev0016vn?src=osp#top-tskt
84,82MA000PVN,0.0,0,10,lenovo,Yoga Duet 7 13ITL6,28990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,41.0,512.0,SSD,no,13.0,2160x1350,60,1.1683,297.4,207.4,9.19,Windows 10,Metal,yes,no,yes,no,yes,no,yes,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i5-82ma000pvn?src=osp#top-tskt
85,82BH00CKVN,0.0,0,96,lenovo,Yoga 7 14ITL5,28990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,71.0,512.0,SSD,no,14.0,1920 x 1080,60,1.43,320.4,214.6,17.7,Windows 10,Metal,yes,no,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/lenovo-yoga-7-14itl5-i7-82bh00ckvn?src=osp#top-tskt
86,L1045T,5.0,4,45,asus,VivoBook Pro 15 OLED K3500PC,28590000.0,Intel,11300H,16.0,no,NVIDIA GeForce RTX3050,63.0,512.0,SSD,no,15.6,1920 x 1080,60,1.65,359.8,235.3,19.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k3500pc-i5-l1045t?src=osp#top-tskt
87,20WE004EVN,0.0,0,48,lenovo,ThinkBook 14s Yoga ITL,27890000.0,Intel,1165G7,8.0,yes,Intel Iris Xe Graphics,60.0,512.0,SSD,yes,14.0,1920 x 1080,60,1.5,320.0,216.0,16.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-thinkbook-14s-yoga-itl-i7-20we004evn?src=osp#top-tskt
88,NX.H7HSV.002,0.0,0,107,acer,Swift 5 SF514 53T 720R,27990000.0,Intel,8565U,8.0,no,Intel UHD Graphics 620,,256.0,SSD,no,14.0,1920 x 1080,60,0.94,329.0,228.0,14.9,Windows 10,"Aluminum, Magnesium",yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/acer-swift-sf5-i7-8565u-8gb-256gb-win10?src=osp#top-tskt
89,HP726W,0.0,0,7,asus,ZenBook Flip UX363EA,27990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,13.3,1920 x 1080,60,1.3,305.0,211.0,11.9,Windows 11,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i5-hp726w?src=osp#top-tskt
90,82A300DQVN,0.0,0,1,lenovo,Yoga Slim 7 14ITL05,27990000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,60.7,512.0,SSD,no,14.0,1920 x 1080,60,1.36,320.6,208.18,14.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-14itl05-i7-82a300dqvn?src=osp#top-tskt
91,HP532T,0.0,0,4,asus,ZenBook Flip UX363EA,27990000.0,Intel,1135G7,8.0,no,Intel Iris Xe Graphics,67.0,512.0,SSD,no,13.3,1920 x 1080,60,1.3,305.0,211.0,11.9,Windows 10,Metal,yes,yes,yes,no,yes,yes,no,https://www.thegioididong.com/laptop/asus-zenbook-flip-ux363ea-i5-hp532t?src=osp#top-tskt
92,MGN63SA/A,4.5,45,1214,apple,MacBook Air M1 2020,28990000.0,Apple,,8.0,no,7 nhân GPU,,256.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,yes,no,yes,no,yes,no,no,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?src=osp#top-tskt
93,HX003T,3.5,24,190,asus,TUF Gaming FX706HC,26990000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX3050,48.0,512.0,SSD,yes,17.3,1920 x 1080,144,2.6,399.0,269.0,23.9,Windows 10,"Metal, Plastic",yes,yes,yes,yes,yes,yes,no,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706hc-i5-hx003t?src=osp#top-tskt
94,N4I5547W,0.0,0,17,dell,Inspiron 14 5410,27290000.0,Intel,1155G7,8.0,yes,NVIDIA GeForce MX350,41.0,512.0,SSD,no,14.0,1920 x 1080,60,1.65,321.0,211.0,18.0,Windows 10,"Metal, Plastic",yes,yes,yes,no,yes,yes,yes,https://www.thegioididong.com/laptop/dell-inspiron-14-5410-i5-n4i5547w?src=osp#top-tskt
