,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
45,KA111T,0.0,0,20,Asus,ZenBook Duo UX482EA,39490000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,70.0,1024.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
46,KA268T,0.0,0,5,Asus,ZenBook Duo UX482EA,39990000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,70.0,1024.0,SSD,no,14.0,1920 x 1080,60,1.62,324.0,222.0,17.3,Windows 10,Metal,2021,yes,yes,yes,no,yes,yes,yes
47,MYD92SA/A,0.0,0,126,Apple,MacBook Pro M1 2020,39990000.0,Apple,M1,8.0,no,8 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
48,Z12A00050,0.0,0,69,Apple,MacBook Air M1 2020,39490000.0,Apple,M1,16.0,no,7 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
49,KC0790T,0.0,0,13,Asus,ExpertBook B9400CEA,36490000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,,,,yes,14.0,1920 x 1080,60,1.01,320.0,203.0,14.9,Windows 10,Magnesium,2021,yes,yes,yes,no,yes,yes,no
50,82EV0017VN,3.0,6,69,Lenovo,YOGA Slim 7 Carbon 13ITL5,34490000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,50.0,1024.0,SSD,no,13.3,2560 x 1600,60,0.966,295.88,208.85,15.0,Windows 10,"Aluminum, Carbon, Magnesium",2020,yes,no,yes,no,yes,no,no
51,816VN,0.0,0,1,MSI,Gaming Pulse GL66 11UDK,33990000.0,Intel,11800H,16.0,yes,NVIDIA GeForce RTX3050Ti,53.5,,,no,15.6,1920 x 1080,144,2.25,359.0,259.0,23.95,Windows 10,Metal,2021,yes,yes,no,yes,yes,yes,no
52,NH.QC5SV.001,0.0,0,147,Acer,Predator Helios PH315 54 78W5,33690000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.3,363.0,255.0,22.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,yes,yes,yes,no
53,2K0B7PA,0.0,0,37,HP,Envy 13 ba1031TU,33690000.0,Intel,1165G7,16.0,no,Intel Iris Xe Graphics,,1024.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 10,Metal,2020,yes,no,no,no,no,yes,yes
54,70258051,0.0,0,36,Dell,Gaming G15 5515,33390000.0,AMD,5800H,16.0,yes,NVIDIA GeForce RTX3050Ti,56.0,512.0,SSD,no,15.6,1920 x 1080,120,2.81,357.2,272.1,26.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
