,title,price,rating,review_count,cmt_count,cpu_name,cpu_ncores,cpu_nthreads,cpu_basefreq,cpu_turbofreq,cpu_cache,ram_size,ram_type,ram_clock,ram_upgradable,storage,gpu,battery,displ_size,displ_resolution,displ_rate,displ_tech,displ_touchscreen,sound,ports,sd_card,wless_connect,webcam,special,backlight_key,weight_dims,surface,os,launch
0,Laptop Acer Nitro 5 Gaming AN515 57 727J i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (NH.QD9SV.005.),29.690.000₫,4.7,8 đánh giá,156 bình luận,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng|512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021
1,Laptop Apple MacBook Air M1 2020 8GB/256GB/7-core GPU (MGN63SA/A),28.990.000₫,4.5,39 đánh giá,904 bình luận,Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,Card tích hợp - 7 nhân GPU,Khoảng 10 tiếng,13.3 inch,Retina (2560 x 1600),,400 nits|Công nghệ IPS|LED Backlit|True Tone Technology,,3 microphones|Headphones|Loa kép (2 kênh),2 x Thunderbolt 3 (USB-C)|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Mac OS,2020
2,Laptop MSI Gaming GF65 Thin 10UE i5 10500H/16GB/512GB/6GB RTX3060 Max-Q/144Hz/Balo/Win10 (286VN),29.490.000₫,5,2 đánh giá,32 bình luận,Intel Core i5 Comet Lake - 10500H,6,12,2.50 GHz,Turbo Boost 4.5 GHz,12 MB,,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB),"Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB","3-cell Li-ion, 51 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare|Tấm nền IPS,,Nahimic Audio|Realtek High Definition Audio,2 x USB 3.2|2 x USB Type-C|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45),,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa,Windows 10 Home SL,2021
3,Laptop Asus ROG Zephyrus G14 Alan Walker GA401QEC R9 5900HS/16GB 1TB/4GB RTX3050Ti/120Hz/Túi/Win10 (K2064T),44.990.000₫,,,24 bình luận,AMD Ryzen 9 - 5900HS,8,16,3.00 GHz,Turbo Boost 4.6 GHz,16 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,24 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe 3.0 mở rộng (nâng cấp dung lượng không giới hạn),"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","4-cell Li-ion, 76 Wh",14 inch,QHD (2560 x 1440),120 Hz,100% DCI-P3|Chống chói Anti Glare|Công nghệ IPS|Độ sáng 300 nits,,Công nghệ Smart AMP|Dolby Atmos,1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC|2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),Không tích hợp,Bảo mật vân tay,Có,Dài 324 mm - Rộng 220 mm - Dày 19.9 mm - Nặng 1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021
4,Laptop Apple MacBook Pro M1 2020 16GB/512GB (Z11C),44.990.000₫,4.7,17 đánh giá,216 bình luận,Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,512 GB SSD,Card tích hợp - 8 nhân GPU,Khoảng 10 tiếng,13.3 inch,Retina (2560 x 1600),,500 nits brightness|LED Backlit|Retina|True Tone Technology|Tấm nền IPS,,3 microphones|Dolby Atmos|Loa kép (2 kênh),2 x Thunderbolt 3 (USB-C)|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Mac OS,2020
5,Laptop Acer Nitro 5 Gaming AN515 57 5831 i5 11400H/8GB/512GB/6GB RTX3060/144Hz/Win10 (NH.QDGSV.003),32.790.000₫,,,97 bình luận,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời - NVIDIA GeForce RTX 3060, 6 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS|LED Backlit|Acer ComfyView,,Acer TrueHarmony|DTS X:Ultra Audio,Jack tai nghe 3.5 mm|3 x USB 3.2|HDMI|LAN (RJ45)|USB Type-C,,Wi-Fi 6 (802.11ax)|Bluetooth 5.1,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 10 Home SL,2021
6,Laptop Acer Nitro 5 Gaming AN515 57 54AF i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.004),28.790.000₫,5,1 đánh giá,51 bình luận,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)|Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Card rời - NVIDIA GeForce RTX3050, 4 GB","4-cell Li-ion, 57 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Acer ComfyView|LED Backlit|Tấm nền IPS,,Acer TrueHarmony|DTS X:Ultra Audio,3 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,Windows 11 Home SL,2021
7,Laptop Dell Vostro 3400 i5 1135G7/8GB/256GB//OfficeH&S 2019/Win10 (70253900),18.890.000₫,5,6 đánh giá,359 bình luận,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA,Card tích hợp - Intel Iris Xe Graphics,"3-cell Li-ion, 42 Wh",14 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare|WVA,,Realtek High Definition Audio,2 x USB 3.2|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB 2.0,SD,Bluetooth|Wi-Fi 802.11 a/b/g/n/ac,HD webcam,,Không có đèn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
8,Laptop MSI Modern 15 A11MU i5 1155G7/8GB/512GB/Túi/Chuột/Win10 (680VN),18.990.000₫,4.3,55 đánh giá,871 bình luận,Intel Core i5 Tiger Lake - 1155G7,4,8,2.50 GHz,Turbo Boost 4.5 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB),Card tích hợp - Intel Iris Xe Graphics,"3-cell, 52 Wh",15.6 inch,Full HD (1920 x 1080),60 Hz,Công nghệ IPS|LED,,Nahimic Audio,2 x USB 3.2|HDMI|USB 2.0|USB Type-C,Micro SD,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,Bản lề mở 180 độ,Có,Dài 356.8 mm - Rộng 233.75 mm - Dày 16.9 mm - Nặng 1.6 kg,Vỏ kim loại,Windows 10 Home SL,2021
9,Laptop HP Envy 13 ba1030TU i7 1165G7/8GB/512GB/Office H&S2019/Win10 (2K0B6PA),30.390.000₫ *,,,181 bình luận,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (On board),2933 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,Card tích hợp - Intel Iris Xe Graphics,3-cell Li-ion,13.3 inch,Full HD (1920 x 1080),60 Hz,400 nits|Tấm nền IPS|Wled-backlit,,Bang & Olufsen audio,2 x USB 3.1|Jack tai nghe 3.5 mm|Thunderbolt 4 USB-C,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay|Công tắc khóa camera|Tiêu chuẩn Nền Intel Evo,Có,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.9 mm - Nặng 1.236 kg,Vỏ kim loại nguyên khối,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
