Ryzen 3-4300U,Độ phân giải màn hình,Core i5-10210U,Core i7-9750HGTX 1650 4GB144Hz,Core i5-10300HGTX 1650 4GB 144Hz,8GB - 512GB VGA 3050,Ryzen 7-5800H  RTX3050 4GB - 165Hz,Loại card đồ họa,15 Inches512GB,Độ phân giải ,R5-5500U  8GB - 256GB,7GPU  16GB - 256GB,"Core i5-1135G7512GB - 14""",1star,Core i5-10210U8GB - 512GB,Cổng giao tiếp,Core i5-1035G7 8 GB / 128 GB,Loại RAM,M1 Pro  10 CPU - 16 GPU  16GB - 512GB,Core i5 1.4Ghz512GB,8GB - 256GB  VGA 1650,Chất liệu,Core i7-1065G716GB - 256GB,Kích thước màn hình,Core i7-1165G7  16GB - 1TB SSD,8GPU16GB - 512GB,Core i716GB - 1TB,Ryzen 5-4600HGTX1 650Ti 4GB - 144Hz,Kích thước, Core i5-10300HGTX 1650 4GB120Hz,I5-1135G7 8GB - 256GB,Ryzen 5-5600HGTX1650 4GB - 144Hz,3star,8GPU8GB - 512GB,Trọng lượng,Core i5-1035G48GB - 256GB,Core i7-10510U,Core i7-10750HGTX 1660Ti 6GB144Hz,Core i716GB - 512GB,R5-5600H - 144Hz - VGA 4GB RX5500M,special_price,Core i5-10300H  GTX1650TI - 144HZ,Ryzen 5-4680U 8 GB / 256 GB,Chất liệu tấm nền,Ryzen 5-5600H RTX3050 4GB - 165Hz,"i5-1135G 14""Intel Iris Xe Graphics",Core i7-10510U8GB - 1TB,17 Inches512GB,Core i5 2Ghz512GB,128GB,Pin,"Core i7-10750HRTX 2060 16GB15.6"" 144Hz",M1 Max  10 CPU - 32 GPU,16GB - 256GB,14 Inches256GB,Core i5-1035G7  8 GB / 256 GB,I5-11400H - VGA 4GB RTX3050TI - 144Hz,Core i7-10750HGTX 1650Ti 4GB144Hz,Core i3-10110U,Bluetooth,I3-1115G48GB - 128GB,Core i7-11370HRTX 3050Ti 4GB144Hz,Ryzen 5-4600HGTX 1650 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050 - 144Hz,Ryzen 7-3700U8GB - 512GB,Đèn bàn phím,Core i58GB - 256GB,Hệ điều hành,5star,"i7-1165G7 14""Intel Iris Xe Graphics",Core i7-11370HGTX1650 4GB - 144Hz,Màn hình cảm ứng,4star,M1 Pro  8 CPU - 14 GPU  16GB - 512GB ,Ryzen 7-3750H8GB - 512GB,"Core i5-1135G7256GB - 14""",Core i3-1115G48GB - 512GB,Core i7-1165G78GB - 512GB,Ryzen 5-3550H8GB - 512GB,"i5-10210U 13.3""Intel UHD Graphics",Core i5-1135G716GB - 512GB,Loại CPU,7GPU8GB - 256GB,R7-5800H - 144Hz - VGA 4GB RX5500M,Core i7-9750HGTX 1650 4GB120Hz,Wi-Fi,R5-4600H  GTX 1650 4GB,8GPU8GB - 256GB,Ryzen 3-3250U4GB - 256GB,old_price,Core i516GB - 512GB,Core i7-10750HGTX 1650Ti 4GB 120Hz,256 GB,I5-1135G7 - 8GB - 512GB ,Core i7-10750HGTX1650 4GB - 144Hz,Công nghệ âm thanh,I7-11370H - /VGA 4GB RTX3050 - 120Hz,14 Inches512GB,I3-1115G4 4GB - 128GB,Core i5 1.4Ghz256GB,Core i5-1135G78GB - 128GB,Core i7-10870HGTX 1650Ti144Hz,comment_count,8GPU16GB - 256GB,8GB - 512GB,2star,Ryzen 5-3500U8GB - 512GB,Core i7-1165G716GB - 1TB,PENT N5030  4GB - 128GB,url,Dung lượng RAM,Webcam,Core i5-1135G78GB - 512GB,"Core i5-1135G7512GB - 15.6""VGA 2GB",I5-11400H - VGA 6GB RTX3060 - 144Hz,R5-4600H - 144Hz - VGA 3GB RX5300M ,"Core i7-10750HRTX 2070 8GB15.6"" 300Hz",I5-11300H - VGA 4GB RTX3050 - 120HZ,Core i7-10750HGTX 1650Ti 4GB - 120Hz,I3-1005G1  4GB - 128GB,Core i5-10300HGTX 1650Ti 4GB120Hz,"Core i5-1135G7512GB - 15.6""",I5-11400H - VGA 4GB RTX3050 - 144Hz,M1 Pro  10 CPU - 16 GPU  16GB - 1TB,Khe đọc thẻ nhớ,Tính năng đặc biệt,16GB - 512GB,"i5-1035G 15.6""NVIDIA GeForce MX350 2GB",Core i3-1115G44GB - 256GB,Công nghệ màn hình,Ryzen 7-4800HGTX 1650 4GB120Hz,R5-4600H1650Ti 4GB + 144Hz,I5-1035G1  8GB - 256GB,Core i5-10300HGTX1650TI 4GB144Hz,item_name,8GB - 256GB,Ryzen 5-3500U4GB - 256GB,Ryzen 5-4500U8GB - 512GB,"Core i3-1115G4256GB - 14""",Core i5-1035G48GB - 128GB,Ryzen 7-5800HRTX 3060 6G - 144Hz,Core i5-11300HGTX1650 4GB - 144Hz,Core i716GB - 256GB,Ryzen 5-4500U,Core i7-10870HGTX 1660Ti 6GB144Hz,Ryzen 7-4800HGTX 1650Ti 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050TI - 144Hz,Core i3-1005G14GB - 128GB,Ryzen 5 Pro-4650U8GB - 512GB,Ryzen 7-4800HGTX 1660Ti 6GB144Hz,"Core i5-10300HGTX 1650 4GB15.6"" 120Hz",Core i58GB - 512GB,I7-1165G7 - 16GB - 512GB,Ổ cứng
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce GTX1650 4GB GDDR6 with Max-Q Design + Intel Iris Xe Graphics,,,,,,0,,"2x Thunderbolt 4, 1x USB 2.0, 1x Mic-in/Headphone-out Combo Jack",,"LPDDR4 4267MHz, không hỗ trợ nâng cấp",,,,,,14 inches,,,,,319 x 219 x 15.9 mm,,,,0,,1.29 kg,,,,,,29.990.000,,,,,,,,,,3 Cell 52WHr,,,,,,,,,v5.1,,,,,,,,Windows 10 Home SL,0,,,,0,,,,,,,,,Intel Core i7-1185G7 3.0GHz up to 4.8GHz 12MB,,,,Intel Wi-Fi 6 AX201(2*2 ax),,,,32.990.000,,,,,,,,,,,,,4,,,0,,,,https://cellphones.com.vn/laptop-msi-prestige-15-a11scx-282vn.html,8GB,,,,,,,,,,,,,,,,,,,"14"" FHD (1920 x 1080), IPS, Anti-Glare, 100% sRGB, 300nits",,,,,Laptop MSI Prestige 14 A11SCX-282VN,,,,,,,,,,,,,,,,,,,512GB PCIe NVMe Gen4x4
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,,Full HD,,,,0,,1x Thunderbolt™ 4 USB-C® 1x USB 3.2 Gen 1 Type-A 2x USB 2.0 1x HDMI 1x Audio combo jack 1x MicroSD card reader 1x DC-in,,"DDR4 3200MHz, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,15.6 inches,,,,,35.98 x 23.38 x 1.61 (cm),,,,0,,1.8 kg,,,,,,21.990.000,,,Tấm nền IPS,,,,,,,3 Cells,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,Wi-Fi 6(Gig+)(802.11ax),,,,22.990.000,,,,,,SonicMaster,,,,,,,23,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-s533eq-bn338t.html,8GB,720p HD,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",,,,"Màn hình chống lóa, 300 nits, 6oHz, 100% sRGB",,,,,Laptop ASUS S533EQ,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3)
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,2 cổng USB 3.2 Gen 1 ports 1 cổng USB 2.0 port 1 cổng HDMI 1.4 port 1 cổng headset (headphone and microphone combo) port,,"DDR4 2666MHz, 2 khe cắm, hỗ trợ tối đa 16GB",,,,,,15.6 inches,,,,,363.96 mm x 249 mm x 18 mm - 19.90 mm,,,,0,,1.91 kg,,,,,,14.650.000,,,Tấm nền IPS,,,,,,,3Cell 42Whrs,,,,,,,,,Bluetooth 4.2,,,,,,,,Windows 10 Home SL,0,,,Không,0,,,,,,,,," Intel Core i3-1115G4, 2 nhân 4 luồng, tối đa 4.10GHz, 6MB bộ nhớ đệm",,,,802.11ac,,,,14.990.000,,,,,,,,,,,,,24,,,0,,,,https://cellphones.com.vn/laptop-dell-inspiron-3501-i3-1115g4.html,4GB,,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,Độ sáng 220 nits,,,,,Laptop Dell Inspiron 3501 N3501C,,,,,,,,,,,,,,,,,,,256GB SSD M.2 PCle Gen3 x4 NVMe
,2560 x 1600 pixel (2K),,,,,,NVIDIA GeForce RTX 3060 6GB GDDR6,,2K (Quad HD),,,,0,,2x Type-C (USB / DP / Thunderbolt™ 4) 2x Type-A USB3.2 Gen2 1x Mic-in/Headphone-out Combo Jack,,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",,,,Vỏ kim loại,,16 inches,,,,,359 x 256 x 15.9 mm,,,,0,,2.2 kg,,,,,,63.990.000,,,Tấm nền IPS,,,,,,,4 Cell 99WHr,,,,,,,,,v5.2,,,,,,Có,,Windows 10 Home SL ,0,,,Có,0,,,,,,,,,Intel Core i9-11900H,,,,Killer Wi-Fi 6E AX1675,,,,66.990.000,,,,,,Nahimic 3 Audio Technology,,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-msi-creator-z16-a11uet-218vn.html,32GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng",,,,"Tần số quét 120Hz, DCI-P3 100%",,,,,Laptop MSI Creator Z16 A11UET-218VN,,,,,,,,,,,,,,,,,,,1TB SSD M.2 NVMe PCIe Gen4x4 (Còn trống 1 khe SSD M.2 NVMe PCIe Gen4)
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA® GeForce® MX330 2GB GDDR5,,Full HD,,,,0,,1 cổng USB 3.2 gen 1 Type-A  1 cổng USB 3.2 gen 1 Type-C  2 cổng USB 2.0 Type-A  1 cổng HDMI 1.4  1 cổng combo tai nghe 3.5mm,,4GB DDR3 on board + 4GB DDR4 SO-DIMM,,,,Vỏ nhựa,,15.6 inches,,,,,36.00 x 23.50 x 1.99 cm,,,,0,,1.80 kg,,,,,,18.390.000,,,,,,,,,,"2-cell, 37WHrs",,,,,,,,,4.1,,,,,,Không,,Windows 10 Home,0,,,Không,1,,,,,,,,,"Intel Core i5-1135G7, tối đa đến 4.20GHz, 8 MB bộ nhớ đệm",,,,Wi-Fi 5(802.11ac),,,,18.690.000,,,,,,"ASUS SonicMaster stereo, 2 loa",,,,,,,34,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ep.html,8GB,VGA Webcam,,,,,,,,,,,,,Có,"Ổ cứng SSD, Bảo mật vân tay",,,,Độ phủ màu 45% NTSC,,,,,Laptop ASUS Vivobook 15 X515EP-EJ006T,,,,,,,,,,,,,,,,,,,512GB SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel® Iris Xe Graphics,,Full HD,,,,0,,2x Thunderbolt 4 supports display / power delivery 1x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack,,LPDDR4X không hỗ trợ nâng cấp,,,,,,14 inches,,,,,32.40 x 22.20 x 1.69 ~ 1.73 (cm),,,,0,,1.62 kg,,,,,,38.490.000,,,Tấm nền IPS,,,,,,,4 Cells 70WHrs,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Có,0,,,,,,,,,Intel Core i7-1165G7 1.2GHz up to 4.7GHz 12MB,,,,Wi-Fi 6(802.11ax) (2x2),,,,39.990.000,,,,,,Harman/Kardon (Premium),,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka268t.html,16GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng",,,,Màn hình chống loá,,,,,Laptop ASUS ZenBook UX482EA-KA268T,,,,,,,,,,,,,,,,,,,1TB M.2 NVMe™ PCIe® 3.0 SSD
,2560 x 1600 pixels (2K),,,,,,Intel Iris Xe Graphics,,2K (Quad HD),,,,0,,2 x USB 3.2 Gen2 2 x USB Type-C Thunderbolt 4 1 x HDMI,,"LPDDR4x 4266MHz, không hỗ trợ nâng cấp",,,,,,16 inches,,,,,380.2 x 260.1 x 17.8mm,,,,0,,1.35kg,,,,47.400.000,,47.400.000,,,Tấm nền IPS,,,,,,,80WHrs 10.336mAh,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"Intel Core™ i7-1165G7, tốc độ 2.80GHz tối đa 4.70GHz, 4 nhân 8 luồng, 12MB bộ nhớ đệm",,,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",,,,50.900.000,,,,,,Hệ thống âm thanh vòm DTS: X Ultra với Stereo Speaker (1.5W x 2),,,,,,,3,,,0,,,,https://cellphones.com.vn/laptop-lg-gram-16-2021.html,16GB,HD Camera,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,99% DCI-P3,,,,,Laptop LG Gram 2021 16Z90P-G.AH75A5 16 inch,,,,,,,,45.400.000,,,,,,,,,37.400.000,,512GB SSD PCIe NVMe M.2
,2880 x 1800 pixels,,,,,,NVIDIA GeForce MX450 2GB GDDR6,,,,,,0,,1x USB 3.2 Gen 1  2x Thunderbolt 4 / USB4 40Gbps 1x Headphone / microphone combo jack (3.5mm),,16GB Soldered LPDDR4x-4266,,,,,,14 inches,,,,,31.24 (W) x 22.14 (D) x 17.9 (H) cm,,,,0,,1.38 kg,,,,,,34.190.000,,,Tấm nền OLED/AMOLED,,,,,,,61Wh,,,,,,,,,5.0,,,,,,,,"Windows 10 Home 64, English",0,,,Không,0,,,,,,,,,"Intel Core i7-11370H (4C / 8T, 3.3 / 4.8GHz, 12MB)",,,,"Wifi 802.11ac, 2x2",,,,35.990.000,,,,,,"High Definition (HD) Audio, Realtek ALC3306 codec",,,,,,,8,,,0,,,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-pro-14iuh5-82nh0011vn.html,16GB,720p + IR + ToF,,,,,,,,,,,,,,Ổ cứng SSD,,,,"2.8K OLED 400nits Glossy, 90Hz, DCI-P3 100%, HDR 500 True Black, Glass, Dolby Vision",,,,,Laptop Lenovo Yoga Slim 7I PRO 14IUH5,,,,,,,,,,,,,,,,,,,"1TB SSD M.2 2280 PCIe 3.0x4 NVMeOne drive, hỗ trợ nâng cấp 1TB M.2 2280 SSD"
,1080 x 1920 pixels (FullHD),,,,,,Geforce RTX 3070 8GB,,Full HD,,,,0,,"3x Type-A USB3.2 Gen1  1x Mini-DisplayPort  HDMI (supports 4K @ 120Hz, 8K @ 60Hz)  ",,"DDR4 16GB (2 x 8GB) 3200MHz, 2 khe, hỗ trợ tối đa 64GB",,,,,,17.3 inches,,,,,397 x 268.5 x 27.5 mm,,,,0,,2.6 kg,,,,,,49.990.000,,,,,,,,,,"4 Cell, 65Whrs",,,,,,,,,v5.0,,,,,,Có,,Windows 10,0,,,Không,0,,,,,,,,,Intel Core i7 11800H,,,, Wi-Fi 6 AX1650i (2*2 ax) ,,,,52.990.000,,,,,,2 loa,,,,,,,2,,,0,,,,https://cellphones.com.vn/laptop-msi-gaming-gp76-leopard-11ug-280vn.html,16GB,720p HD Webcam,,,,,,,,,,,,,,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,"Chống chói, tần số quét 240Hz",,,,,Laptop MSI Gaming GP76 Leopard 11UG-280VN,,,,,,,,,,,,,,,,,,,1TB SSD 
,1920 x 1080 pixels (FullHD),,,,,,AMD Radeon Graphics,,Full HD,,,,0,,1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 2.0 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack,,"DDR4 2666MHz, 1 khe cắm tối đa 12GB",,,,Vỏ nhựa,,15.6 inches,,,,,36.00 x 23.50 x 1.99 ~ 1.99 cm,,,,0,,1.80 kg,,,,,,12.390.000,,,Tấm nền TN,,,,,,,"2-cell, 37WHrs",,,,,,,,,v4.1,,,,,,,,Windows 10 Home SL ,1,,,Không,0,,,,,,,,,"AMD Ryzen 3-3250U upto 3.50GHz, 2 cores 4 threads, 4MB Cache",,,,802.11 AC,,,,12.490.000,,,,,,"2 Loa, ASUS SonicMaster stereo",,,,,,,58,,,0,,,,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej711t.html,4GB,VGA Web Camera,,,,,,,,,,,,,Có,"Ổ cứng SSD, Viền màn hình siêu mỏng",,,,Màn hình chống lóa,,,,,Laptop ASUS VivoBook D515DA-EJ711T,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE G3X4
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,"1 x Thunderbolt™ 3 (40Gbps signaling rate) with SuperSpeed USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge) 1 x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge) 1 x SuperSpeed USB ",,"DDR4 2933MHz, không hỗ trợ nâng cấp",,,,Vỏ nhựa,,13.3 inches,,,,,30.65 x 19.46 x 1.69 cm,,,,0,,1.3 kg ,,,,,,28.990.000,,,Tấm nền IPS,,,,,,,3Cell 51Whrs,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Intel Core i7-1165G7 (up to 5.0Ghz, 12MB)",,,,Intel® Wi-Fi 6 AX 201 (2x2),,,,30.490.000,,,,,,,,,,,,,3,,,0,,,,https://cellphones.com.vn/laptop-hp-envy-13-ba1535tu-4u6m4pa.html,8GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"400 nits, 100% sRGB",,,,,Laptop HP Envy 13-BA1535TU 4U6M4PA,,,,,,,,,,,,,,,,,,,512GB SSD M.2 NVMe™ PCIe® 3.0
,1920 x 1080 pixels (FullHD),,,,,,Intel® Iris Xe Graphics,,Full HD,,,,0,,1 USB 3.2 Gen 1 Type-C™ 1x USB 3.2 Gen 1 Type-A 1x USB 2.0 Type-A 1x HDMI 1.4 1x RJ-45 1x Audio Jack 1x Power in FingerPrint,,"DDR4 3200MHz, 2 khe cắm tối đa 16GB",,,,Vỏ nhựa,,15.6 inches,,,,,358.5 x 235.56 x 18.9 mm,,,,0,,1.7 kg,,,,,,21.290.000,,,Tấm nền VA,,,,,,,3 Cell 42WHr,,,,,,,,,v4.2,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,802.11 AC,,,,,,,,,,"Stereo speakers, 2 W x 2 = 4 W total",,,,,,,5,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-15-3510-7t2yc1.html,8GB,HD 720p	,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,Màn hình chống loá,,,,,Laptop Dell Vostro 15 3510 7T2YC1,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE
,3840 x 2160 pixels,,,,,,Intel Iris Xe Graphics,,4K (Ultra HD),,,,0,,"3x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4a) 1x headphone / microphone combo jack",,"LPDDR4x4266MHz, không hỗ trợ nâng cấp",,,,Vỏ kim loại,,14 inches,,,,,318 x 200.9 x 13.9-14.6 mm,,,,0,,1.29 Kg,,,,,,48.990.000,,,Tấm nền IPS,,,,,,,4Cell 63.5Wh,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Có,0,,,,,,,,,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,,,,Wi-Fi 6 2x2 (802.11ax),,,,51.990.000,,,,,,2 Loa,,,,,,,3,,,0,,,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-9-14itl5-82d1004jvn.html,16GB,720p + IR + ToF,,,,,,,,,,,,,Không,"Công nghệ Intel Evo, Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",,,,"90% DCI-P3, HDR 400, Dolby Vision",,,,,Laptop Lenovo Yoga Slim 9 14ITL5,,,,,,,,,,,,,,,,,,,1TB SSD M.2 2280 PCIe 3.0x4 NVMe
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce MX350 2GB GDDR5,,Full HD,,,,0,,"USB Type-C, 2 x USB 3.2 , HDMI , Jack tai nghe 3.5 mm",,"LPDDR4x 4267MHz, không hỗ trợ nâng cấp",,,,,,13.3 inches,,,,,306 x 204 x 15.9 mm,,,,0,,1.06 Kg,,,,,,,,,,,,,,,,3Cell 42WHrs,,,,,,,,,Bluetooth v5.1,,,,,,Có,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"Intel Core i7-1165G7 (2.80GHz up to 4.70GHz, 12MB)",,,,WiFi 802.11ac 2x2,,,,,,,,,, Realtek High Definition AudioWaves MaxxAudio,,,,,,,12,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-5301.html,8GB,"HD Camera, có công tắc khóa camera",,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,13.3inch FHD (1920 x 1080) 60Hz Anti-Glare 300nits 95% RGB Wide-veiwing angle Non-Touch WLED display,,,,,Laptop Dell Vostro 5301 V3I7129W,,,,,,,,,,,,,,,,,,,512GB M.2 PCIe NVMe SSD
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,1x Type-C USB 3.2 Gen1 2x Type-A USB 3.2 Gen2 1x Type-A USB 2.0 1x Mic-in/Headphone-out Combo Jack 1x (4K @ 60Hz) HDMI,,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",,,,Vỏ kim loại,,15.6 inches,,,,,356.8 x 233.75 x 16.9 (mm),,,,0,,1.6 kg,,,,,,18.790.000,,,Tấm nền IPS,,,,,,,52WHr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i5-1155G7 CPU Intel thế hệ 11 - 2.5GHz up to 4.5GHz 8MB,,,,802.11 AX,,,,19.990.000,,,,,,2x 2W Speaker,,,,,,,11,,,0,,,,https://cellphones.com.vn/laptop-msi-modern-15-a11m-678vn.html,8GB,HD Camera (30fps@720p),,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,,,,,,Laptop MSI Modern 15 A11M,,,,,,,,,,,,,,,,,,,512GB PCIe NVMe™ M.2 SSD <br> Khả năng lưu trữ : 1x M.2 SSD slot (NVMe PCIe Gen3) <br> 1x M.2 SSD slot (NVMe PCIe Gen4)
,1920 x 1080 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,1x USB-C 3.2 Gen 1 (support data transfer only) 1x USB 3.2 Gen 1 1x USB 2.0 1x HDMI 1.4b 1x headphone / microphone combo jack (3.5mm) 1x power connector,,"DDR4 3200MHz, 1 khe cắm tối đa 12GB",,,,Vỏ nhựa,,15.6 inches,,,,,359.2 x 236.5 x 19.9 (mm),,,,0,,1.65 kg,,,,,,13.790.000,,,Tấm nền TN,,,,,,,2 Cells 38WHrs,,,,,,,,,v5.0,,,,,,Không,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,,,,802.11AC (2x2),,,,14.990.000,,,,,,Dolby Audio,,,,,,,5,,,0,,,,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15itl6-82h800m4vn.html,8GB,HD 720p ,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,"Màn hình chống loá, 220nits",,,,,Laptop Lenovo Ideapad 3 15ITL6,,,,,,,,,,,,,,,,,,,"256GB SSD M.2 2242 PCIe 3.0x2 NVMe (Còn trống 1 khe 2.5"" SATA)"
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA GeForce MX330 2GB GDDR5,,Full HD,,,,0,,1x USB 3.2 Gen 2 Type-C™ (DP/PowerDelivery) 2x USB 3.2 Type-A 1x HDMI 1.4b 1x Ethernet RJ-45,,"DDR4 3200MHz, 2 khe ram, tối đa 32GB",,,,Vỏ nhựa,,14 inches,,,,,321.3 x 216.2 x 17.9 mm,,,,0,,1.41 kg,,,,,,21.790.000,,,,,,,,,,3 Cell 40WHr,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,802.11 AC,,,,22.990.000,,,,,,2 loa,,,,,,,11,,,0,,,,https://cellphones.com.vn/laptop-dell-vostro-5402-v5402a.html,8GB,,,,,,,,,,,,,,Có,Ổ cứng SSD,,,,,,,,,Laptop Dell Vostro 5402 V5402A,,,,,,,,,,,,,,,,,,,256GB SSD M.2 PCIE
,2560 x 1600 pixel (2K),,,,,,NVIDIA GeForce RTX 3070 8GB GDDR6,,Full HD,,,,0,,"1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery and DisplayPort 1.4) 1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery and DisplayPort 1.4) 4x USB 3.2 Gen 1 1x HDMI 2.1 1x Ethernet (RJ-45)",,"16GB (2x 8GB) DDR4-3200Mhz, 2 khe cắm tối đa 32GB",,,,Vỏ nhựa,,16 inches,,,,,356 x 260.4-264.4 x 21.7-26.85 (mm),,,,0,,2.45 kg,,,,,,47.990.000,,,Tấm nền IPS,,,,,,,4 Cell 80 WHr,,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,,,,802.11ax 2x2,,,,49.990.000,,,,,,"Stereo speakers, 2W x2, Nahimic Audio",,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-lenovo-legion-5-pro-16ach6h-82jq005yvn.html,16GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Màn hình chống loá, tần số quét 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync",,,,,Laptop Lenovo Legion 5 Pro 16ACH6H 82JQ005YVN,,,,,,,,,,,,,,,,,,,1TB SSD M.2 2280 PCIe 3.0x4 NVMe (Còn trống 1 khe SSD M.2 PCIE)
,2560 x 1440 pixels (2K),,,,,,Geforce RTX 3060 MaxQ 6GB,,2K (Quad HD),,,,0,,1 x HDMI 2.0  1 x Type C USB3.1 (GEN2) support DP function  2 x Type-A USB 3.1 (Gen 1),,"DDR4 3200MHz, 1 khe cắm, hỗ trợ tối đa 32GB",,,,,,14 inches,,,,,32.4 x 22.0 x 1.99 cm,,,,0,,1.7kg,,,,,,47.990.000,,,Tấm nền IPS,,,,,,,,,,,,,,,,v5.0,,,,,,,,Windows 10 Home SL,0,,,Không,0,,,,,,,,, Ryzen 9 5900HS,,,,Intel Wi-Fi 6 AX201(2*2 ax),,,,49.990.000,,,,,,,,,,,,,0,,,0,,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga401qm.html,32GB,,,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",,,,"Tần số quét 120Hz, 100% sRGB",,,,,Laptop ASUS Gaming ROG Zephyrus G14 GA401QM-K2041T,,,,,,,,,,,,,,,,,,,1TB SSD nvme PCI-express
