,title,price,rating,review_count,cmt_count,cpu_name,cpu_ncores,cpu_nthreads,cpu_basefreq,cpu_turbofreq,cpu_cache,ram_size,ram_type,ram_clock,ram_upgradable,storage,gpu,battery,displ_size,displ_resolution,displ_rate,displ_tech,displ_touchscreen,sound,ports,sd_card,wless_connect,webcam,special,backlight_key,weight_dims,surface,os,launch
54,Laptop Dell Gaming G15 5515 R7 5800H/16GB/512GB/4GB RTX3050Ti/120Hz/Office H&S2019/Win10 (70258051),33.390.000₫,,,5 bình luận,AMD Ryzen 7 - 5800H,8,16,3.20 GHz,4.4 GHz,16 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Không hỗ trợ khe cắm HDD|Không hỗ trợ khe cắm SSD M2 mở rộng thêm|512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))","Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","3-cell Li-ion, 56 Wh",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare|WVA,,Nahimic Audio,1 x USB 3.2|2 x USB 2.0|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|USB Type-C,,Bluetooth 5.2|Wi-Fi 6 (802.11ax),HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm - Nặng 2.81 kg,Vỏ nhựa,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
55,Laptop Apple MacBook Air M1 2020 8GB/512GB/8-core GPU (MGN73SA/A),34.990.000₫,,,4 bình luận,Apple M1 - Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,8 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,512 GB SSD,Card tích hợp - 8 nhân GPU,Khoảng 10 tiếng,13.3 inch,Retina (2560 x 1600),Hãng không công bố,400 nits|Công nghệ IPS|LED Backlit|True Tone Technology,,3 microphones|Headphones|Loa kép (2 kênh),2 x Thunderbolt 3 (USB-C)|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Mac OS,2020
56,Laptop Dell Inspiron 7306A i7 1165G7/16GB/512GB/Touch/Pen/Win10 (P125G002N7306A),32.990.000₫,,,18 bình luận,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,DDR4 2 khe (8 GB onboard + 8 GB onboard),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,Card tích hợp - Intel Iris Xe Graphics,"4-cell, 60 Wh",13.3 inch,4K/UHD (3840 x 2160),,100% sRGB|WVA,Có,Realtek ALC3204,Jack tai nghe 3.5 mm|Thunderbolt 4 USB-C|1 x USB 3.2|HDMI,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay,Có,Dài 305 mm - Rộng 206 mm - Dày 16.7 mm - Nặng 1.37 kg,Vỏ kim loại,Windows 10 Home SL,2021
57,Laptop Asus TUF Gaming FX516PM i7 11370H/8GB/512GB/6GB RTX3060/144Hz/Win10 (HN002T),32.490.000₫,1,1 đánh giá,11 bình luận,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB),"Card rời - NVIDIA GeForce RTX 3060, 6 GB","4-cell Li-ion, 76 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Adaptive-Sync|Chống chói Anti Glare|Tấm nền IPS,,DTS Audio,3 x USB 3.2|HDMI 2.0|Jack tai nghe 3.5 mm|LAN (RJ45)|Thunderbolt 4 USB-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021
58,Laptop Apple MacBook Air M1 2020 16GB/256GB/7-core GPU (Z124000DE),33.990.000₫,4,4 đánh giá,19 bình luận,Apple M1 - Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,Hãng không công bố,16 GB,Hãng không công bố,Hãng không công bố,Không hỗ trợ nâng cấp,256 GB SSD,Card tích hợp - 7 nhân GPU,Khoảng 10 tiếng,13.3 inch,Retina (2560 x 1600),Hãng không công bố,400 nits|Công nghệ IPS|LED Backlit|True Tone Technology,,3 microphones|Headphones|Loa kép (2 kênh),2 x Thunderbolt 3 (USB-C)|Jack tai nghe 3.5 mm,,Bluetooth 5.0|Wi-Fi 6 (802.11ax),720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Mac OS,2020
59,Laptop Asus ZenBook Duo UX482EA i5 1135G7/8GB/512GB/Touch/Pen/Túi/Stand/Win10 (KA274T),32.490.000₫ *,,,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,Card tích hợp - Intel Iris Xe Graphics,"4-cell Li-ion, 70 Wh",14 inch,Full HD (1920 x 1080),60 Hz,100% sRGB|400 nits|Chống chói Anti Glare|LED Backlit|Tấm nền IPS,Có,Audio by Harman/Kardon,1 x USB 3.2|2 x Thunderbolt 4 USB-C|HDMI|Jack tai nghe 3.5 mm,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Mở khóa khuôn mặt|ScreenPad Plus 12.65 inch (1920 x 515 IPS Panel)|Độ bền chuẩn quân đội MLT STD 810H,Có,Dài 324 mm - Rộng 222 mm - Dày 17.3 mm - Nặng 1.62 kg,Vỏ kim loại,Windows 10 Home SL,2021
60,Laptop MSI Gaming GF65 10UE i7 10750H/16GB/512GB/6GB RTX3060 Max-Q/Balo/Win10 (228VN),32.490.000₫,4.5,4 đánh giá,8 bình luận,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,512 GB SSD NVMe PCIe|Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB","3-cell Li-ion, 51 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,LED|Tấm nền IPS,,Nahimic Audio,2 x USB 3.2|2 x USB Type-C|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45),,Bluetooth 5.1|Wi-Fi 6 (802.11ax),HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021
61,Laptop Asus TUF Gaming FX516PM i7 11370H/16GB/512GB/6GB RTX3060/144Hz/Win10 (HN023T),32.490.000₫,,,24 bình luận,Intel Core i7 Tiger Lake - 11370H,4,8,3.30 GHz,Turbo Boost 4.8 GHz,12 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng|512 GB SSD NVMe PCIe,"Card rời - NVIDIA GeForce RTX 3060, 6 GB","4-cell Li-ion, 76 Wh",15.6 inch,Full HD (1920 x 1080),144 Hz,Adaptive-Sync|Chống chói Anti Glare|Tấm nền IPS,,DTS Audio,3 x USB 3.2|HDMI 2.0|Jack tai nghe 3.5 mm|LAN (RJ45)|Thunderbolt 4 USB-C,,Bluetooth 5.1|Wi-Fi 6 (802.11ax),Không tích hợp,,Có,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ nhựa - nắp lưng bằng kim loại,Windows 10 Home SL,2021
62,Laptop Asus ZenBook Duo UX482EA i5 1135G7/8GB/512GB/Touch/Pen/Túi/Stand/Win10 (KA081T),32.490.000₫ *,4,1 đánh giá,,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,Card tích hợp - Intel Iris Xe Graphics,"4-cell Li-ion, 70 Wh",14 inch,Full HD (1920 x 1080),60 Hz,100% sRGB|400 nits|Chống chói Anti Glare|LED Backlit|Tấm nền IPS,Có,Audio by Harman/Kardon,1 x USB 3.2|2 x Thunderbolt 4 USB-C|HDMI|Jack tai nghe 3.5 mm,Micro SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),Camera IR|HD webcam,Mở khóa khuôn mặt|ScreenPad Plus 12.65 inch (1920 x 515 IPS Panel)|Độ bền chuẩn quân đội MLT STD 810H,Có,Dài 324 mm - Rộng 222 mm - Dày 17.3 mm - Nặng 1.62 kg,Vỏ kim loại,Windows 10 Home SL,2021
63,Laptop Dell Gaming G3 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002G3500B),31.990.000₫,,,6 bình luận,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng|512 GB SSD NVMe PCIe,"Card rời - NVIDIA GeForce GTX 1660Ti, 6 GB","4-cell Li-ion, 68 Wh",15.6 inch,Full HD (1920 x 1080),120 Hz,LED|WVA,,Nahimic 3,1 x USB 3.2|2 x USB 2.0|HDMI|Jack tai nghe 3.5 mm|LAN (RJ45)|Thunderbolt 3,SD,Bluetooth 5.0|Wi-Fi 6 (802.11ax),HD webcam,Bảo mật vân tay,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,Vỏ nhựa,Windows 10 Home SL,2020
